Members;Membership Date
Afghanistan;29.07.16
Albania;08.09.00
Angola;23.11.96
Antigua and Barbuda;01.01.95
Argentina;01.01.95
Armenia;05.02.03
Australia;01.01.95
Austria;01.01.95
Bahrain, Kingdom of;01.01.95
Bangladesh;01.01.95
Barbados;01.01.95
Belgium;01.01.95
Belize;01.01.95
Benin;22.02.96
Bolivia, Plurinational State of;12.09.95
Botswana;31.05.95
Brazil;01.01.95
Brunei Darussalam;01.01.95
Bulgaria;01.12.96
Burkina Faso;03.06.95
Burundi;23.07.95
Cabo Verde;23.07.08
Cambodia;13.10.04
Cameroon;13.12.95
Canada;01.01.95
Central African Republic;31.05.95
Chad;19.10.96
Chile;01.01.95
China;11.12.01
Colombia;30.04.95
Congo;27.03.97
Costa Rica;01.01.95
Côte d’Ivoire;01.01.95
Croatia;30.11.00
Cuba;20.04.95
Cyprus;30.07.95
Czech Republic;01.01.95
Democratic Republic of the Congo;01.01.97
Denmark;01.01.95
Djibouti;31.05.95
Dominica;01.01.95
Dominican Republic;09.03.95
Ecuador;21.01.96
Egypt;30.06.95
El Salvador;07.05.95
Estonia;13.11.99
Eswatini;01.01.95
European Union (formerly EC);01.01.95
Fiji;14.01.96
Finland;01.01.95
France;01.01.95
Gabon;01.01.95
Gambia;23.10.96
Georgia;14.06.00
Germany;01.01.95
Ghana;01.01.95
Greece;01.01.95
Grenada;22.02.96
Guatemala;21.07.95
Guinea;25.10.95
Guinea-Bissau;31.05.95
Guyana;01.01.95
Haiti;30.01.96
Honduras;01.01.95
Hong Kong, China;01.01.95
Hungary;01.01.95
Iceland;01.01.95
India;01.01.95
Indonesia;01.01.95
Ireland;01.01.95
Israel;21.04.95
Italy;01.01.95
Jamaica;09.03.95
Japan;01.01.95
Jordan;11.04.00
Kazakhstan;30.11.15
Kenya;01.01.95
Korea, Republic of;01.01.95
Kuwait, the State of;01.01.95
Kyrgyz Republic;20.12.98
Lao People’s Democratic Republic;02.02.13
Latvia;10.02.99
Lesotho;31.05.95
Liberia;14.07.16
Liechtenstein;01.09.95
Lithuania;31.05.01
Luxembourg;01.01.95
Macao, China;01.01.95
Madagascar;17.11.95
Malawi;31.05.95
Malaysia;01.01.95
Maldives;31.05.95
Mali;31.05.95
Malta;01.01.95
Mauritania;31.05.95
Mauritius;01.01.95
Mexico;01.01.95
Moldova, Republic of;26.07.01
Mongolia;29.01.97
Montenegro;29.04.12
Morocco;01.01.95
Mozambique;26.08.95
Myanmar;01.01.95
Namibia;01.01.95
Nepal;23.04.04
Netherlands;01.01.95
New Zealand;01.01.95
Nicaragua;03.09.95
Niger;13.12.96
Nigeria;01.01.95
North Macedonia;04.04.03
Norway;01.01.95
Oman;09.11.00
Pakistan;01.01.95
Panama;06.09.97
Papua New Guinea;09.06.96
Paraguay;01.01.95
Peru;01.01.95
Philippines;01.01.95
Poland;01.07.95
Portugal;01.01.95
Qatar;13.01.96
Romania;01.01.95
Russian Federation;22.08.12
Rwanda;22.05.96
Saint Kitts and Nevis;21.02.96
Saint Lucia;01.01.95
Saint Vincent and the Grenadines;01.01.95
Samoa;10.05.12
Saudi Arabia, Kingdom of;11.12.05
Senegal;01.01.95
Seychelles;26.04.15
Sierra Leone;23.07.95
Singapore;01.01.95
Slovak Republic;01.01.95
Slovenia;30.07.95
Solomon Islands;26.07.96
South Africa;01.01.95
Spain;01.01.95
Sri Lanka;01.01.95
Suriname;01.01.95
Sweden;01.01.95
Switzerland;01.07.95
Chinese Taipei;01.01.02
Tajikistan;02.03.13
Tanzania;01.01.95
Thailand;01.01.95
Togo;31.05.95
Tonga;27.07.07
Trinidad and Tobago;01.03.95
Tunisia;29.03.95
Türkiye;26.03.95
Uganda;01.01.95
Ukraine;16.05.08
United Arab Emirates;10.04.96
United Kingdom;01.01.95
United States;01.01.95
Uruguay;01.01.95
Vanuatu;24.08.12
Venezuela, Bolivarian Republic of;01.01.95
Vietnam;11.01.07
Yemen;26.06.14
Zambia;01.01.95
Zimbabwe;05.03.95
Algeria;10000
Andorra;10000
Azerbaijan;10000
Bahamas;10000
Belarus;10000
Bhutan;10000
Bosnia and Herzegovina;10000
Comoros;10000
Curaçao;10000
Equatorial Guinea;10000
Ethiopia;10000
Holy See;10000
Iran;10000
Iraq;10000
Lebanese Republic;10000
Libya;10000
Sao Tomé and Principe;10000
Serbia;10000
Somalia;10000
South Sudan;10000
Sudan;10000
Syrian Arab Republic;10000
Timor-Leste;10000
Turkmenistan;10000
Uzbekistan;10000
